Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
41.46,121.62,0.0,330534912.0,30.0,43.22,143536128.0,23.4,11.42,56.0,369.14,84.68,247.52,2,2,2024-08-24 22:06:27
42.48,126.62,0.0,330534912.0,30.0,43.76,143536128.0,27.48,4.9,56.0,380.28,86.24,253.66,2,2,2024-08-24 22:06:32
49.7,138.32,0.0,330534912.0,30.0,45.92,143536128.0,24.34,10.3,56.0,398.54,95.62,260.22,2,2,2024-08-24 22:06:37
40.0,120.04,0.0,330534912.0,30.0,42.82,143536128.0,17.62,5.4,56.0,374.72,82.82,254.68,2,2,2024-08-24 22:06:42
45.84,135.8,0.0,330531962.88,30.0,45.92,143539077.12,24.7,10.9,56.0,399.94,91.76,264.14,2,2,2024-08-24 22:06:47
42.04,127.2,0.0,330530816.0,30.0,42.2,143540224.0,17.72,4.1,56.0,372.08,84.24,244.88,2,2,2024-08-24 22:06:52
44.66,132.72,0.0,330530816.0,30.0,45.7,143540224.0,24.14,9.84,56.0,394.2,90.36,261.48,2,2,2024-08-24 22:06:57
56.88,153.34,0.0,330530816.0,30.0,50.6,143540224.0,19.1,4.16,56.0,429.46,107.48,276.12,2,2,2024-08-24 22:07:02
50.28,149.82,0.0,330528768.0,30.0,49.62,143542272.0,43.4,35.2,56.0,429.36,99.9,279.54,2,2,2024-08-24 22:07:07
43.44,128.02,0.0,330526720.0,30.0,42.4,143544320.0,17.78,4.0,56.0,372.18,85.84,244.16,2,2,2024-08-24 22:07:12
46.78,135.46,0.0,330526720.0,30.0,46.04,143544320.0,24.6,10.2,56.0,405.6,92.82,270.14,2,2,2024-08-24 22:07:17
