Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique
6461.0,-1.0,-0.1799999999999997,-0.04,-0.0099999999999997,0.0,0.0,0.0,4.95,5.02,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",57.68,156.56,0.0,223784960.0,53.0,50.7,250286080.0,27.6,13.8,56.0,524.24,108.38,367.68,10,10
6471.0,1.0,-0.1400000000000005,-0.0299999999999993,-0.0200000000000004,0.0,0.0,0.0,4.81,4.99,5.06,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",57.76,153.24,0.0,223784960.0,53.0,51.22,250286080.0,23.56,31.74,56.0,504.42,108.98,351.18,10,10
6482.0,0.0,-0.0499999999999998,-0.0200000000000004,0.0,0.0,0.0,0.0,4.76,4.97,5.06,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",61.26,159.56,0.0,223784632.32,53.0,50.66,250286407.68,20.6,15.82,56.0,519.94,111.92,360.38,10,10
6493.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.8,4.97,5.06,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",59.94,159.06,0.0,223779635.2,53.0,50.52,250291404.8,18.76,12.84,56.0,516.84,110.46,357.78,10,10
6503.0,0.0,-0.1200000000000001,-0.0299999999999993,-0.0099999999999997,0.0,0.0,0.0,4.68,4.94,5.05,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",49.06,144.36,0.0,223719424.0,53.0,47.84,250351616.0,20.92,8.58,56.0,479.58,96.9,335.22,10,10
6514.0,0.0,-0.0299999999999993,-0.0100000000000006,-0.0099999999999997,0.0,0.0,0.0,4.65,4.93,5.04,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",46.12,141.8,0.0,223715328.0,53.0,47.46,250355712.0,24.54,23.42,56.0,482.04,93.58,340.24,10,10
6524.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.73,4.93,5.04,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",47.72,145.6,0.0,223715328.0,53.0,48.26,250355712.0,18.0,12.56,56.0,489.32,95.98,343.72,10,10
6535.0,0.0,-0.0300000000000002,-0.0099999999999997,-0.0099999999999997,0.0,0.0,0.0,4.7,4.92,5.03,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",46.52,137.58,0.0,223715328.0,53.0,47.7,250355712.0,23.82,10.46,56.0,474.88,94.22,337.3,10,10
6545.0,1.0,-0.04,-0.0199999999999995,-0.0100000000000006,0.0,0.0,0.0,4.66,4.9,5.02,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",51.92,157.74,0.0,223669944.32,53.0,50.22,250401095.68,20.78,17.5,56.0,513.34,102.14,355.6,10,10
6556.0,0.0,-0.0200000000000004,-0.0100000000000006,0.0,0.0,0.0,0.0,4.64,4.89,5.02,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",47.86,159.86,0.0,223636029.44,53.0,46.4,250435010.56,24.24,18.54,56.0,511.02,94.26,351.16,10,10
